# ----------------------------------------
# All Web Site Data
# Audience Overview
# 20150101-20171231
# ----------------------------------------

Day Index,Sessions,Users
3/11/16,68,63
3/12/16,46,40
3/13/16,69,63
3/14/16,92,80
3/15/16,109,99
3/16/16,114,102
3/17/16,89,80
3/18/16,79,72
3/19/16,73,69
3/20/16,93,90
3/21/16,131,122
3/22/16,113,105
3/23/16,109,100
3/24/16,102,90
3/25/16,73,63
3/26/16,66,61
3/27/16,84,68
3/28/16,90,83
3/29/16,111,99
3/30/16,98,93
3/31/16,64,61
4/1/16,89,83
4/2/16,102,51
4/3/16,93,80
4/4/16,115,102
4/5/16,94,85
4/6/16,89,85
4/7/16,101,94
4/8/16,67,64
4/9/16,71,67
4/10/16,71,63
4/11/16,82,73
4/12/16,104,92
4/13/16,95,89
4/14/16,101,88
4/15/16,90,82
4/16/16,77,69
4/17/16,217,201
4/18/16,159,144
4/19/16,126,108
4/20/16,124,116
4/21/16,99,92
4/22/16,81,75
4/23/16,48,46
4/24/16,75,68
4/25/16,131,121
4/26/16,104,99
4/27/16,110,101
4/28/16,102,93
4/29/16,88,79
4/30/16,92,80
5/1/16,68,64
5/2/16,86,80
5/3/16,84,78
5/4/16,98,89
5/5/16,87,86
5/6/16,84,80
5/7/16,76,73
5/8/16,70,65
5/9/16,74,70
5/10/16,83,76
5/11/16,97,90
5/12/16,89,77
5/13/16,84,77
5/14/16,61,57
5/15/16,67,59
5/16/16,76,73
5/17/16,91,86
5/18/16,69,62
5/19/16,93,83
5/20/16,86,76
5/21/16,55,51
5/22/16,75,63
5/23/16,69,67
5/24/16,83,75
5/25/16,78,74
5/26/16,61,55
5/27/16,102,97
5/28/16,45,42
5/29/16,55,50
5/30/16,79,68
5/31/16,80,74
6/1/16,96,91
6/2/16,80,74
6/3/16,74,68
6/4/16,42,37
6/5/16,56,53
6/6/16,84,80
6/7/16,86,81
6/8/16,77,72
6/9/16,80,74
6/10/16,72,68
6/11/16,69,62
6/12/16,53,48
6/13/16,96,88
6/14/16,92,82
6/15/16,89,84
6/16/16,66,63
6/17/16,56,53
6/18/16,41,39
6/19/16,54,48
6/20/16,74,68
6/21/16,79,64
6/22/16,68,61
6/23/16,70,63
6/24/16,64,51
6/25/16,31,26
6/26/16,58,53
6/27/16,71,65
6/28/16,77,64
6/29/16,71,62
6/30/16,73,61
7/1/16,53,51
7/2/16,38,34
7/3/16,49,44
7/4/16,60,53
7/5/16,76,70
7/6/16,58,53
7/7/16,61,52
7/8/16,61,53
7/9/16,44,42
7/10/16,52,48
7/11/16,72,62
7/12/16,65,56
7/13/16,48,45
7/14/16,89,83
7/15/16,70,63
7/16/16,44,34
7/17/16,55,53
7/18/16,80,71
7/19/16,72,65
7/20/16,65,61
7/21/16,71,63
7/22/16,71,68
7/23/16,46,43
7/24/16,43,38
7/25/16,62,56
7/26/16,56,52
7/27/16,53,47
7/28/16,78,71
7/29/16,39,37
7/30/16,39,38
7/31/16,57,50
8/1/16,54,49
8/2/16,68,61
8/3/16,76,65
8/4/16,71,62
8/5/16,64,55
8/6/16,33,28
8/7/16,39,38
8/8/16,73,65
8/9/16,55,49
8/10/16,61,56
8/11/16,51,46
8/12/16,40,38
8/13/16,41,35
8/14/16,50,41
8/15/16,87,79
8/16/16,108,103
8/17/16,84,80
8/18/16,56,54
8/19/16,73,67
8/20/16,35,29
8/21/16,61,49
8/22/16,76,58
8/23/16,80,76
8/24/16,77,66
8/25/16,76,67
8/26/16,67,55
8/27/16,36,34
8/28/16,47,41
8/29/16,83,72
8/30/16,75,69
8/31/16,72,67
9/1/16,63,58
9/2/16,67,61
9/3/16,44,39
9/4/16,46,38
9/5/16,48,47
9/6/16,58,52
9/7/16,79,69
9/8/16,73,68
9/9/16,62,57
9/10/16,50,49
9/11/16,72,62
9/12/16,76,68
9/13/16,91,86
9/14/16,105,92
9/15/16,101,86
9/16/16,57,54
9/17/16,63,57
9/18/16,65,58
9/19/16,89,82
9/20/16,96,91
9/21/16,72,68
9/22/16,74,69
9/23/16,69,65
9/24/16,45,39
9/25/16,61,53
9/26/16,103,93
9/27/16,102,93
9/28/16,109,97
9/29/16,106,94
9/30/16,82,79
10/1/16,57,50
10/2/16,77,69
10/3/16,97,94
10/4/16,76,72
10/5/16,124,113
10/6/16,98,92
10/7/16,67,65
10/8/16,63,52
10/9/16,74,64
10/10/16,192,173
10/11/16,163,147
10/12/16,224,208
10/13/16,152,139
10/14/16,82,73
10/15/16,76,67
10/16/16,70,64
10/17/16,105,95
10/18/16,101,94
10/19/16,91,82
10/20/16,103,96
10/21/16,88,80
10/22/16,45,42
10/23/16,71,68
10/24/16,102,93
10/25/16,142,132
10/26/16,126,114
10/27/16,76,67
10/28/16,65,63
10/29/16,49,44
10/30/16,61,57
10/31/16,79,74
11/1/16,89,78
11/2/16,83,80
11/3/16,93,87
11/4/16,71,66
11/5/16,43,41
11/6/16,70,69
11/7/16,72,67
11/8/16,94,85
11/9/16,75,68
11/10/16,67,62
11/11/16,76,68
11/12/16,41,39
11/13/16,58,57
11/14/16,89,85
11/15/16,105,95
11/16/16,127,117
11/17/16,86,78
11/18/16,95,77
11/19/16,69,56
11/20/16,130,107
11/21/16,108,88
11/22/16,112,98
11/23/16,75,62
11/24/16,80,66
11/25/16,92,80
11/26/16,72,53
11/27/16,99,83
11/28/16,112,92
11/29/16,132,117
11/30/16,100,89
12/1/16,108,90
12/2/16,107,90
12/3/16,74,68
12/4/16,85,74
12/5/16,99,90
12/6/16,92,84
12/7/16,80,77
12/8/16,97,90
12/9/16,70,60
12/10/16,72,61
12/11/16,75,66
12/12/16,96,89
12/13/16,116,103
12/14/16,106,96
12/15/16,94,85
12/16/16,91,81
12/17/16,42,37
12/18/16,51,48
12/19/16,72,69
12/20/16,77,71
12/21/16,69,62
12/22/16,69,59
12/23/16,63,56
12/24/16,32,27
12/25/16,41,38
12/26/16,53,45
12/27/16,58,51
12/28/16,63,50
12/29/16,62,52
12/30/16,80,70
12/31/16,33,29
1/1/17,40,36
1/2/17,65,60
1/3/17,75,71
1/4/17,91,79
1/5/17,85,75
1/6/17,62,54
1/7/17,54,49
1/8/17,71,58
1/9/17,106,90
1/10/17,90,76
1/11/17,77,72
1/12/17,91,81
1/13/17,81,68
1/14/17,58,49
1/15/17,51,49
1/16/17,87,72
1/17/17,108,95
1/18/17,88,78
1/19/17,155,143
1/20/17,106,92
1/21/17,114,107
1/22/17,100,88
1/23/17,105,97
1/24/17,76,73
1/25/17,101,93
1/26/17,84,78
1/27/17,76,70
1/28/17,56,49
1/29/17,78,69
1/30/17,120,107
1/31/17,102,94
2/1/17,95,85
2/2/17,107,95
2/3/17,85,74
2/4/17,58,53
2/5/17,80,70
2/6/17,101,92
2/7/17,115,100
2/8/17,143,122
2/9/17,89,83
2/10/17,104,91
2/11/17,76,67
2/12/17,95,81
2/13/17,149,127
2/14/17,137,125
2/15/17,136,124
2/16/17,112,98
2/17/17,114,96
2/18/17,95,74
2/19/17,85,75
2/20/17,96,88
2/21/17,115,109
2/22/17,114,102
2/23/17,151,141
2/24/17,87,82
2/25/17,61,57
2/26/17,77,67
2/27/17,142,124
2/28/17,124,109
3/1/17,113,102
3/2/17,143,128
3/3/17,74,73
3/4/17,44,40
3/5/17,66,65
3/6/17,105,96
3/7/17,123,108
3/8/17,103,100
3/9/17,95,86
3/10/17,69,60
3/11/17,51,46
3/12/17,65,60
3/13/17,107,96
3/14/17,106,98
3/15/17,108,98
3/16/17,98,88
3/17/17,82,79
3/18/17,55,47
3/19/17,91,85
3/20/17,79,74
3/21/17,97,91
3/22/17,89,82
3/23/17,118,110
3/24/17,88,78
3/25/17,58,52
3/26/17,67,62
3/27/17,101,88
3/28/17,104,95
3/29/17,106,93
3/30/17,110,98
3/31/17,77,72
4/1/17,60,56
4/2/17,78,74
4/3/17,109,100
4/4/17,355,302
4/5/17,480,430
4/6/17,513,468
4/7/17,245,221
4/8/17,145,124
4/9/17,123,108
4/10/17,166,157
4/11/17,131,121
4/12/17,495,422
4/13/17,196,168
4/14/17,130,113
4/15/17,88,75
4/16/17,74,68
4/17/17,130,116
4/18/17,140,125
4/19/17,195,170
4/20/17,308,277
4/21/17,146,137
4/22/17,90,78
4/23/17,171,151
4/24/17,188,168
4/25/17,137,124
4/26/17,125,109
4/27/17,129,118
4/28/17,278,248
4/29/17,132,120
4/30/17,116,104
5/1/17,167,147
5/2/17,181,160
5/3/17,233,189
5/4/17,129,119
5/5/17,158,150
5/6/17,196,180
5/7/17,105,95
5/8/17,159,144
5/9/17,152,136
5/10/17,118,105
5/11/17,89,80
5/12/17,106,89
5/13/17,77,65
5/14/17,81,74
5/15/17,115,99
5/16/17,116,106
5/17/17,74,71
5/18/17,94,88
5/19/17,73,65
5/20/17,55,55
5/21/17,64,60
5/22/17,90,85
5/23/17,100,94
5/24/17,91,87
5/25/17,100,89
5/26/17,76,67
5/27/17,40,32
5/28/17,92,75
5/29/17,84,78
5/30/17,103,88
5/31/17,112,103
6/1/17,109,95
6/2/17,97,77
6/3/17,49,42
6/4/17,65,58
6/5/17,94,84
6/6/17,123,109
6/7/17,79,70
6/8/17,88,79
6/9/17,61,55
6/10/17,46,43
6/11/17,54,50
6/12/17,104,94
6/13/17,87,81
6/14/17,98,88
6/15/17,89,76
6/16/17,74,69
6/17/17,50,48
6/18/17,53,51
6/19/17,76,71
6/20/17,84,74
6/21/17,78,67
6/22/17,79,77
6/23/17,77,69
6/24/17,37,35
6/25/17,47,45
6/26/17,56,51
6/27/17,69,63
6/28/17,108,96
6/29/17,73,67
6/30/17,58,55
7/1/17,37,34
7/2/17,46,43
7/3/17,46,46
7/4/17,52,50
7/5/17,66,61
7/6/17,66,59
7/7/17,54,51
7/8/17,39,36
7/9/17,38,31
7/10/17,214,193
7/11/17,142,130
7/12/17,101,94
7/13/17,85,76
7/14/17,102,89
7/15/17,56,49
7/16/17,68,64
7/17/17,74,70
7/18/17,82,79
7/19/17,83,70
7/20/17,81,72
7/21/17,50,44
7/22/17,46,43
7/23/17,49,44
7/24/17,72,70
7/25/17,94,88
7/26/17,79,70
7/27/17,103,93
7/28/17,61,54
7/29/17,30,28
7/30/17,33,30
7/31/17,92,78
8/1/17,40,38
8/2/17,77,69
8/3/17,67,61
8/4/17,58,54
8/5/17,35,31
8/6/17,43,43
8/7/17,77,73
8/8/17,77,70
8/9/17,88,82
8/10/17,71,65
8/11/17,62,61
8/12/17,52,48
8/13/17,52,44
8/14/17,71,67
8/15/17,85,79
8/16/17,78,73
8/17/17,85,76
8/18/17,69,65
8/19/17,49,44
8/20/17,48,41
8/21/17,65,57
8/22/17,67,62
8/23/17,70,62
8/24/17,50,49
8/25/17,53,50
8/26/17,43,39
8/27/17,44,42
8/28/17,84,79
8/29/17,81,72
8/30/17,95,90
8/31/17,68,64
9/1/17,62,57
9/2/17,28,26
9/3/17,55,52
9/4/17,64,60
9/5/17,90,85
9/6/17,78,67
9/7/17,70,62
9/8/17,64,63
9/9/17,50,46
9/10/17,83,72
9/11/17,109,96
9/12/17,118,112
9/13/17,113,103
9/14/17,106,99
9/15/17,85,79
9/16/17,63,59
9/17/17,71,65
9/18/17,96,90
9/19/17,118,107
9/20/17,132,119
